XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo1b
alveo3b
alveo4b
alveo1a
alveo2b
alveo2a
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:262144, num_elements:65536, num_trials:100
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:262144, num_elements:65536, num_trials:100
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:262144, num_elements:65536, num_trials:100
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:262144, num_elements:65536, num_trials:100
Start Bcast test:
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:262144, num_elements:65536, num_trials:100
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:262144, num_elements:65536, num_trials:100
iteration:0, time[s]:0.001071
iteration:1, time[s]:0.000632
iteration:2, time[s]:0.000593
iteration:3, time[s]:0.000572
iteration:4, time[s]:0.000572
iteration:5, time[s]:0.000573
iteration:6, time[s]:0.000635
iteration:7, time[s]:0.000622
iteration:8, time[s]:0.000685
iteration:9, time[s]:0.000553
iteration:10, time[s]:0.000538
iteration:11, time[s]:0.000611
iteration:12, time[s]:0.000534
iteration:13, time[s]:0.000521
iteration:14, time[s]:0.000576
iteration:15, time[s]:0.000586
iteration:16, time[s]:0.004148
iteration:17, time[s]:0.000638
iteration:18, time[s]:0.000540
iteration:19, time[s]:0.000520
iteration:20, time[s]:0.000485
iteration:21, time[s]:0.000513
iteration:22, time[s]:0.000528
iteration:23, time[s]:0.000511
iteration:24, time[s]:0.000509
iteration:25, time[s]:0.000518
iteration:26, time[s]:0.000511
iteration:27, time[s]:0.000528
iteration:28, time[s]:0.000492
iteration:29, time[s]:0.000479
iteration:30, time[s]:0.000472
iteration:31, time[s]:0.000528
iteration:32, time[s]:0.000506
iteration:33, time[s]:0.000499
iteration:34, time[s]:0.000485
iteration:35, time[s]:0.000499
iteration:36, time[s]:0.000491
iteration:37, time[s]:0.000529
iteration:38, time[s]:0.000488
iteration:39, time[s]:0.000527
iteration:40, time[s]:0.000505
iteration:41, time[s]:0.000567
iteration:42, time[s]:0.000476
iteration:43, time[s]:0.000475
iteration:44, time[s]:0.000486
iteration:45, time[s]:0.000450
iteration:46, time[s]:0.000462
iteration:47, time[s]:0.000465
iteration:48, time[s]:0.000465
iteration:49, time[s]:0.000464
iteration:50, time[s]:0.000470
iteration:51, time[s]:0.000454
iteration:52, time[s]:0.000460
iteration:53, time[s]:0.000451
iteration:54, time[s]:0.000505
iteration:55, time[s]:0.000472
iteration:56, time[s]:0.000481
iteration:57, time[s]:0.000461
iteration:58, time[s]:0.000480
iteration:59, time[s]:0.000490
iteration:60, time[s]:0.000467
iteration:61, time[s]:0.000438
iteration:62, time[s]:0.000489
iteration:63, time[s]:0.000519
iteration:64, time[s]:0.000444
iteration:65, time[s]:0.000466
iteration:66, time[s]:0.000492
iteration:67, time[s]:0.000474
iteration:68, time[s]:0.000457
iteration:69, time[s]:0.000425
iteration:70, time[s]:0.000466
iteration:71, time[s]:0.000464
iteration:72, time[s]:0.000517
iteration:73, time[s]:0.000440
iteration:74, time[s]:0.000498
iteration:75, time[s]:0.000475
iteration:76, time[s]:0.000456
iteration:77, time[s]:0.000459
iteration:78, time[s]:0.000452
iteration:79, time[s]:0.000477
iteration:80, time[s]:0.000460
iteration:81, time[s]:0.000455
iteration:82, time[s]:0.000455
iteration:83, time[s]:0.000460
iteration:84, time[s]:0.000439
iteration:85, time[s]:0.000444
iteration:86, time[s]:0.000441
iteration:87, time[s]:0.000447
iteration:88, time[s]:0.000460
iteration:89, time[s]:0.000461
iteration:90, time[s]:0.000500
iteration:91, time[s]:0.000443
iteration:92, time[s]:0.000444
iteration:93, time[s]:0.000442
iteration:94, time[s]:0.000495
iteration:95, time[s]:0.000525
iteration:96, time[s]:0.000484
iteration:97, time[s]:0.000437
iteration:98, time[s]:0.000531
iteration:99, time[s]:0.000463
iteration:100, time[s]:0.000466
Data size = 262144, Trials = 100
Avg MPI time [us]= *534.097100, throughput [Gbps] = 3.926537
