alveo1a, bytes:32768, num_elements:8192, num_trials:1000
alveo3b, bytes:32768, num_elements:8192, num_trials:1000
alveo2b, bytes:32768, num_elements:8192, num_trials:1000
alveo1b, bytes:32768, num_elements:8192, num_trials:1000
alveo2a, bytes:32768, num_elements:8192, num_trials:1000
iteration:0, time[s]:0.000285
iteration:1, time[s]:0.000203
iteration:2, time[s]:0.000171
iteration:3, time[s]:0.000187
iteration:4, time[s]:0.000199
iteration:5, time[s]:0.000178
iteration:6, time[s]:0.000178
iteration:7, time[s]:0.000178
iteration:8, time[s]:0.000174
iteration:9, time[s]:0.000184
iteration:10, time[s]:0.000185
iteration:11, time[s]:0.000163
iteration:12, time[s]:0.000184
iteration:13, time[s]:0.000166
iteration:14, time[s]:0.000135
iteration:15, time[s]:0.000129
iteration:16, time[s]:0.000137
iteration:17, time[s]:0.000126
iteration:18, time[s]:0.000167
iteration:19, time[s]:0.000162
iteration:20, time[s]:0.000175
iteration:21, time[s]:0.000130
iteration:22, time[s]:0.000171
iteration:23, time[s]:0.000170
iteration:24, time[s]:0.000131
iteration:25, time[s]:0.000174
iteration:26, time[s]:0.000179
iteration:27, time[s]:0.000164
iteration:28, time[s]:0.000175
iteration:29, time[s]:0.000176
iteration:30, time[s]:0.000168
iteration:31, time[s]:0.000143
iteration:32, time[s]:0.000166
iteration:33, time[s]:0.000173
iteration:34, time[s]:0.000171
iteration:35, time[s]:0.000169
iteration:36, time[s]:0.000155
iteration:37, time[s]:0.000151
iteration:38, time[s]:0.000159
iteration:39, time[s]:0.000162
iteration:40, time[s]:0.000158
iteration:41, time[s]:0.000167
iteration:42, time[s]:0.000159
iteration:43, time[s]:0.000153
iteration:44, time[s]:0.000172
iteration:45, time[s]:0.000177
iteration:46, time[s]:0.000167
iteration:47, time[s]:0.000169
iteration:48, time[s]:0.000170
iteration:49, time[s]:0.000170
iteration:50, time[s]:0.000171
iteration:51, time[s]:0.000167
iteration:52, time[s]:0.000154
iteration:53, time[s]:0.000170
iteration:54, time[s]:0.000170
iteration:55, time[s]:0.000169
iteration:56, time[s]:0.000163
iteration:57, time[s]:0.000170
iteration:58, time[s]:0.000169
iteration:59, time[s]:0.000153
iteration:60, time[s]:0.000158
iteration:61, time[s]:0.000155
iteration:62, time[s]:0.000167
iteration:63, time[s]:0.000149
iteration:64, time[s]:0.000167
iteration:65, time[s]:0.000167
iteration:66, time[s]:0.000163
iteration:67, time[s]:0.000165
iteration:68, time[s]:0.000153
iteration:69, time[s]:0.000153
iteration:70, time[s]:0.000163
iteration:71, time[s]:0.000162
iteration:72, time[s]:0.000168
iteration:73, time[s]:0.000122
iteration:74, time[s]:0.000162
iteration:75, time[s]:0.000167
iteration:76, time[s]:0.000126
iteration:77, time[s]:0.000131
iteration:78, time[s]:0.000141
iteration:79, time[s]:0.000138
iteration:80, time[s]:0.000130
iteration:81, time[s]:0.000135
iteration:82, time[s]:0.000131
iteration:83, time[s]:0.000135
iteration:84, time[s]:0.000129
iteration:85, time[s]:0.000131
iteration:86, time[s]:0.000128
iteration:87, time[s]:0.000128
iteration:88, time[s]:0.000127
iteration:89, time[s]:0.000131
iteration:90, time[s]:0.000130
iteration:91, time[s]:0.000132
iteration:92, time[s]:0.000121
iteration:93, time[s]:0.000126
iteration:94, time[s]:0.000127
iteration:95, time[s]:0.000128
iteration:96, time[s]:0.000130
iteration:97, time[s]:0.000129
iteration:98, time[s]:0.000137
iteration:99, time[s]:0.000121
iteration:100, time[s]:0.000114
iteration:101, time[s]:0.000111
iteration:102, time[s]:0.000143
