XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3b
alveo4b
alveo1a
alveo2b
alveo2a
alveo1b
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:1048576, num_elements:262144, num_trials:100
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:1048576, num_elements:262144, num_trials:100
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:1048576, num_elements:262144, num_trials:100
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:1048576, num_elements:262144, num_trials:100
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:1048576, num_elements:262144, num_trials:100
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:1048576, num_elements:262144, num_trials:100
Start Scatter test:
iteration:0, time[s]:0.001090
iteration:1, time[s]:0.000789
iteration:2, time[s]:0.000779
iteration:3, time[s]:0.000725
iteration:4, time[s]:0.000767
iteration:5, time[s]:0.000733
iteration:6, time[s]:0.000829
iteration:7, time[s]:0.000775
iteration:8, time[s]:0.000638
iteration:9, time[s]:0.000790
iteration:10, time[s]:0.000668
iteration:11, time[s]:0.000808
iteration:12, time[s]:0.000840
iteration:13, time[s]:0.000712
iteration:14, time[s]:0.000785
iteration:15, time[s]:0.000765
iteration:16, time[s]:0.000716
iteration:17, time[s]:0.000768
iteration:18, time[s]:0.000666
iteration:19, time[s]:0.000738
iteration:20, time[s]:0.000720
iteration:21, time[s]:0.000721
iteration:22, time[s]:0.000827
iteration:23, time[s]:0.000622
iteration:24, time[s]:0.000732
iteration:25, time[s]:0.000740
iteration:26, time[s]:0.000728
iteration:27, time[s]:0.000793
iteration:28, time[s]:0.000630
iteration:29, time[s]:0.000742
iteration:30, time[s]:0.000645
iteration:31, time[s]:0.000624
iteration:32, time[s]:0.000713
iteration:33, time[s]:0.000662
iteration:34, time[s]:0.000725
iteration:35, time[s]:0.000736
iteration:36, time[s]:0.000807
iteration:37, time[s]:0.000781
iteration:38, time[s]:0.000740
iteration:39, time[s]:0.000754
iteration:40, time[s]:0.000737
iteration:41, time[s]:0.000788
iteration:42, time[s]:0.000795
iteration:43, time[s]:0.000784
iteration:44, time[s]:0.000783
iteration:45, time[s]:0.000786
iteration:46, time[s]:0.000798
iteration:47, time[s]:0.000793
iteration:48, time[s]:0.000641
iteration:49, time[s]:0.000767
iteration:50, time[s]:0.000828
iteration:51, time[s]:0.000784
iteration:52, time[s]:0.000794
iteration:53, time[s]:0.000648
iteration:54, time[s]:0.000783
iteration:55, time[s]:0.000746
iteration:56, time[s]:0.000743
iteration:57, time[s]:0.000650
iteration:58, time[s]:0.000663
iteration:59, time[s]:0.000775
iteration:60, time[s]:0.000715
iteration:61, time[s]:0.000758
iteration:62, time[s]:0.000761
iteration:63, time[s]:0.000721
iteration:64, time[s]:0.000762
iteration:65, time[s]:0.000790
iteration:66, time[s]:0.000782
iteration:67, time[s]:0.000796
iteration:68, time[s]:0.000683
iteration:69, time[s]:0.000818
iteration:70, time[s]:0.000790
iteration:71, time[s]:0.000771
iteration:72, time[s]:0.000812
iteration:73, time[s]:0.000665
iteration:74, time[s]:0.000792
iteration:75, time[s]:0.000826
iteration:76, time[s]:0.000810
iteration:77, time[s]:0.000792
iteration:78, time[s]:0.000672
iteration:79, time[s]:0.000769
iteration:80, time[s]:0.000811
iteration:81, time[s]:0.000754
iteration:82, time[s]:0.000768
iteration:83, time[s]:0.000651
iteration:84, time[s]:0.000776
iteration:85, time[s]:0.000748
iteration:86, time[s]:0.000777
iteration:87, time[s]:0.000781
iteration:88, time[s]:0.000665
iteration:89, time[s]:0.000796
iteration:90, time[s]:0.000755
iteration:91, time[s]:0.000726
iteration:92, time[s]:0.000713
iteration:93, time[s]:0.000675
iteration:94, time[s]:0.000699
iteration:95, time[s]:0.000722
iteration:96, time[s]:0.000723
iteration:97, time[s]:0.000674
iteration:98, time[s]:0.000727
iteration:99, time[s]:0.000779
iteration:100, time[s]:0.000757
Data size = 1048576, Trials = 100
Avg MPI time [us]= *745.792990, throughput [Gbps] = 11.247904
